Date,SP500,US1.3.Year,US7.10.Year,US20.Year,Broad.Commodity,Aggregated.Bonds,IG.Corporate
,,,,,,,
02/02/2004,0.003644571000 ,-0.001090542000 ,-0.003981701000 ,-0.006223381000 ,NA,-0.002439621000 ,-0.004208280000 
,,,,,,,
03/02/2004,0.000678046000 ,0.000969401000 ,0.003864876000 ,0.005073835000 ,NA,0.002731966000 ,0.002061606000 
,,,,,,,
04/02/2004,-0.008406501000 ,-0.000605755000 ,-0.001637799000 ,-0.001957343000 ,NA,0.000097500000 ,-0.000806235000 
,,,,,,,
05/02/2004,0.001835783000 ,-0.000727510000 ,-0.003753764000 ,-0.003926067000 ,NA,-0.002829418000 ,-0.001704059000 
,,,,,,,
06/02/2004,0.012477362000 ,0.001575532000 ,0.006092638000 ,0.010931551000 ,NA,0.004095160000 ,0.002957928000 
,,,,,,,
09/02/2004,-0.002584764000 ,0.000363206000 ,0.002333416000 ,0.002971114000 ,NA,0.000680891000 ,0.004197693000 
,,,,,,,
10/02/2004,0.005014542000 ,-0.001332457000 ,-0.002800772000 ,-0.005606708000 ,NA,-0.002141469000 ,-0.002945457000 
,,,,,,,
11/02/2004,0.010610937000 ,0.001574481000 ,0.005245038000 ,0.007430740000 ,NA,0.003890240000 ,0.006060084000 
,,,,,,,
12/02/2004,-0.004892082000 ,0.000363083000 ,-0.000581383000 ,-0.004223062000 ,NA,0.000097100000 ,-0.001778613000 
,,,,,,,
13/02/2004,-0.005483169000 ,0.001450617000 ,0.002555775000 ,0.004223062000 ,NA,0.004454772000 ,0.005680321000 
,,,,,,,
17/02/2004,0.009709935000 ,-0.000845973000 ,0.000000000000 ,-0.000683662000 ,NA,-0.002418615000 ,-0.002924833000 
,,,,,,,
18/02/2004,-0.004478543000 ,0.000120921000 ,-0.000232119000 ,0.001366777000 ,NA,-0.000775136000 ,-0.002310514000 
,,,,,,,
19/02/2004,-0.004141055000 ,0.000483454000 ,0.000696114000 ,0.001023787000 ,NA,0.001065669000 ,0.003552410000 
,,,,,,,
20/02/2004,-0.002575170000 ,-0.001088122000 ,-0.003368778000 ,-0.006959935000 ,NA,-0.003103484000 ,-0.004887839000 
,,,,,,,
23/02/2004,-0.002730731000 ,0.000967259000 ,0.003252779000 ,0.006163711000 ,NA,0.002716133000 ,0.002757868000 
,,,,,,,
24/02/2004,-0.001666630000 ,0.000120863000 ,0.001738247000 ,0.001819055000 ,NA,-0.000872259000 ,0.000976779000 
,,,,,,,
25/02/2004,0.004012760000 ,0.000724701000 ,0.001157117000 ,0.001588912000 ,NA,0.002324212000 ,0.000709804000 
,,,,,,,
26/02/2004,0.001083633000 ,-0.000362285000 ,-0.001504601000 ,-0.003180352000 ,NA,-0.001645753000 ,0.000709300000 
,,,,,,,
27/02/2004,0.000026100000 ,0.000724427000 ,0.003930233000 ,0.008609047000 ,NA,0.002709232000 ,0.002920503000 
,,,,,,,
01/03/2004,0.009587611000 ,-0.001691218000 ,-0.001847610000 ,-0.004408609000 ,NA,-0.001934395000 ,-0.004162078000 
,,,,,,,
02/03/2004,-0.005960787000 ,-0.000967727000 ,-0.005795774000 ,-0.006364358000 ,NA,-0.003491430000 ,-0.001954175000 
,,,,,,,
03/03/2004,0.001678212000 ,-0.000726356000 ,-0.000930391000 ,-0.001825814000 ,NA,-0.001069259000 ,-0.000444689000 
,,,,,,,
04/03/2004,0.003330560000 ,0.000847394000 ,0.003136767000 ,0.004444693000 ,NA,0.002428482000 ,0.001599858000 
,,,,,,,
05/03/2004,0.001721646000 ,0.002175765000 ,0.012335161000 ,0.019146851000 ,NA,0.007346597000 ,0.010600850000 
,,,,,,,
08/03/2004,-0.008385277000 ,0.001568402000 ,0.005598392000 ,0.005895118000 ,NA,0.003365207000 ,0.002808005000 
,,,,,,,
09/03/2004,-0.005787282000 ,0.000602627000 ,0.003752788000 ,0.006632046000 ,NA,0.001438799000 ,0.002013350000 
,,,,,,,
10/03/2004,-0.014740971000 ,-0.000602627000 ,-0.000113537000 ,-0.000661208000 ,NA,-0.001150887000 ,0.003230483000 
,,,,,,,
11/03/2004,-0.015340970000 ,0.000843526000 ,0.000113537000 ,0.001432080000 ,NA,0.002204679000 ,-0.004280400000 
,,,,,,,
12/03/2004,0.012382511000 ,-0.000722955000 ,-0.003069360000 ,-0.006183732000 ,NA,-0.003068654000 ,-0.001138747000 
,,,,,,,
15/03/2004,-0.014453755000 ,-0.000482288000 ,0.000569063000 ,0.001660130000 ,NA,0.000192029000 ,0.001138747000 
,,,,,,,
16/03/2004,0.005606722000 ,0.000723388000 ,0.004881115000 ,0.008259504000 ,NA,0.002397738000 ,0.004541863000 
,,,,,,,
17/03/2004,0.011680904000 ,0.000000000000 ,-0.000679633000 ,-0.001646463000 ,NA,-0.000479117000 ,0.000522722000 
,,,,,,,
18/03/2004,-0.001273383000 ,-0.000361671000 ,-0.003177837000 ,-0.005286894000 ,NA,-0.000958846000 ,-0.004189550000 
,,,,,,,
19/03/2004,-0.011236100000 ,0.000361671000 ,-0.001365067000 ,-0.001326147000 ,NA,-0.001055824000 ,-0.001575631000 
,,,,,,,
22/03/2004,-0.013042208000 ,0.000602325000 ,0.003749388000 ,0.006063664000 ,NA,0.002589605000 ,0.003847115000 
,,,,,,,
23/03/2004,-0.001324661000 ,0.000240896000 ,0.001473149000 ,0.001757040000 ,NA,0.000095800000 ,0.001831004000 
,,,,,,,
24/03/2004,-0.002397859000 ,0.000240754000 ,-0.000679633000 ,-0.000548790000 ,NA,0.000574464000 ,-0.000958656000 
,,,,,,,
25/03/2004,0.016232870000 ,-0.000120412000 ,-0.001360733000 ,-0.003849733000 ,NA,-0.000574464000 ,-0.002706642000 
,,,,,,,
